会社名,slug,業界,factsheet,10コマ,企業紹介,決算書,AI OB
文藝春秋,bungeishunju,広告・メディア,✓,,,,✓
エイベックス,avex,広告・メディア,✓,,,,✓
アミューズ,amuse,広告・メディア,✓,,,,✓
吉本興業ホールディングス,yoshimoto-hd,広告・メディア,✓,,,,✓
オリエンタルランド,oriental-land,広告・メディア,✓,,,,✓
合同会社ユー・エス・ジェイ（USJ）,usj,広告・メディア,✓,,,,✓
サンリオ,sanrio,広告・メディア,✓,,,,✓
ラウンドワン,round-one,広告・メディア,✓,,,,✓
東宝,toho,広告・メディア,✓,,,,✓
東映,toei,広告・メディア,✓,,,,✓
松竹,shochiku,広告・メディア,✓,,,,✓
朝日新聞社,asahi-shimbun,広告・メディア,✓,,,,✓
日本経済新聞社,nikkei,広告・メディア,✓,,,,✓
読売新聞グループ本社,yomiuri-group,広告・メディア,✓,,,,✓
セプテーニ・ホールディングス,septeni-hd,広告・メディア,✓,,,,✓
ぴあ,pia,広告・メディア,✓,,,,✓
Google日本,google-japan,その他（外資・新興等）,✓,✓,,,✓
アマゾンジャパン,amazon-japan,その他（外資・新興等）,✓,,,,✓
日本マイクロソフト,microsoft-japan,その他（外資・新興等）,✓,,,,✓
セールスフォース・ジャパン,salesforce-japan,その他（外資・新興等）,✓,,,,✓
日本オラクル,oracle-japan,その他（外資・新興等）,✓,,,,✓
日本アイ・ビー・エム,ibm-japan,その他（外資・新興等）,✓,,,,✓
SAPジャパン,sap-japan,その他（外資・新興等）,✓,,,,✓
P＆Gジャパン,pg-japan,その他（外資・新興等）,✓,,,,✓
日本ロレアル,loreal-japan,その他（外資・新興等）,✓,,,,
ユニリーバ・ジャパン,unilever-japan,その他（外資・新興等）,✓,,,,
ネスレ日本,nestle-japan,その他（外資・新興等）,✓,,,,
パーソルホールディングス,persol-hd,その他（外資・新興等）,✓,,,,
パソナグループ,pasona-group,その他（外資・新興等）,✓,,,,
ベネッセホールディングス,benesse-hd,その他（外資・新興等）,✓,,,,
学研ホールディングス,gakken-hd,その他（外資・新興等）,✓,,,,
ナガセ（東進）,nagase-toshin,その他（外資・新興等）,✓,,,,
Rapidus（ラピダス）,rapidus,その他（外資・新興等）,✓,,,,
JASM（TSMC日本子会社）,jasm,その他（外資・新興等）,✓,,,,
ソシオネクスト,socionext,その他（外資・新興等）,✓,,,,
エムスリー,m3,その他（外資・新興等）,✓,,,,
メドレー,medley,その他（外資・新興等）,✓,,,,
JMDC,jmdc,その他（外資・新興等）,✓,,,,
ispace（アイスペース）,ispace,その他（外資・新興等）,✓,,,,
アストロスケールホールディングス,astroscale-hd,その他（外資・新興等）,✓,,,,
OpenAI Japan,openai-japan,その他（外資・新興等）,✓,✓,,,
Spiber（スパイバー）,spiber,その他（外資・新興等）,✓,,,,
TBM（ティービーエム）,tbm,その他（外資・新興等）,✓,,,,
ユーグレナ,euglena,その他（外資・新興等）,✓,,,,
ベースフード,base-food,その他（外資・新興等）,✓,,,,
bitFlyer,bitflyer,その他（外資・新興等）,✓,,,,
